class,species,stateProvi,locality,decimalLat,decimalLon,year,institutio
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Tamiasciurus hudsonicus,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Reithrodontomys megalotis,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"MOSBY, 9.5 MI E OF",46.9922,-107.68271,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Phenacomys intermedius,Montana,"ST MARY, 7 MI S OF; E FACE OF DIVIDE MT; TIMBERLINE",48.6671,-113.3821,1946,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Microtus ochrogaster,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Zapus princeps,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Ochotona princeps,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Ochotona princeps,Montana,Quartzite ridge,46.9058,-110.8548,1939,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Urocitellus columbianus,Montana,"BROWNING, 13 MI N, 20 MI W OF",48.74504,-113.44943,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"BLACKFEET, 10 MI S, 4 MI E OF",48.4360019,-112.7894933,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"BLACKFEET, 10 MI S, 4 MI E OF",48.4360019,-112.7894933,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"BLACKFEET, 10 MI S, 4 MI E OF",48.4360019,-112.7894933,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus ochrogaster,Montana,"CULBERTSON, 5 MI S, 3 MI E OF",48.0718885,-104.4519579,1948,KU
Mammalia,Microtus ochrogaster,Montana,"CUSTER, 15 MI S OF",45.9132445,-107.5594027,1948,KU
Mammalia,Callospermophilus lateralis,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Microtus pennsylvanicus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Urocitellus richardsonii,Montana,"WILSALL AND WHITE SULFUR SPRINGS, BETWEEN",46.267,-110.772,1949,KU
Mammalia,Taxidea taxus,Montana,"GREAT FALLS, 42 MI S OF",46.9104154,-111.2840246,1949,KU
Mammalia,Urocitellus columbianus,Montana,"BELTON, 1.4 MI S OF",46.585,-110.835,1949,KU
Mammalia,Bison bison,Montana,No locality,47.0198251,-109.8805857,1886,KU
Mammalia,Cynomys ludovicianus,Montana,"EDGAR, 10 MI E OF",45.4648396,-108.6457282,1917,KU
Mammalia,Cynomys ludovicianus,Montana,"EDGAR, 10 MI E OF",45.4648396,-108.6457282,1917,KU
Mammalia,Neotoma cinerea,Montana,"PRYOR CREEK, 25 MI W OF",45.7086368,-108.8814382,1916,KU
Mammalia,Tamias amoenus,Montana,"MONARCH, 2 MI N OF",47.12725,-110.8386,1946,KU
Mammalia,Tamiasciurus hudsonicus,Montana,"MONARCH, 9 MI S OF",46.96802,-110.8386,1946,KU
Mammalia,Reithrodontomys megalotis,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"MOSBY, 9.5 MI E OF",46.9922,-107.68271,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"MOSBY, 9.5 MI E OF",46.9922,-107.68271,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Myodes gapperi,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Microtus pennsylvanicus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Microtus longicaudus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Tamias minimus,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER RIVER",45.56104,-110.313,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Perognathus fasciatus,Montana,"MEDICINE LAKE, 3 MI S OF",48.4554583,-104.5047446,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"CUT BANK, 1 MI W OF",48.633,-112.34803,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"BLACKFEET, 10 MI S, 4 MI E OF",48.4360019,-112.7894933,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"RAYMOND, 7 MI S OF",48.7749582,-104.5801511,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"CULBERTSON, 5 MI S, 3 MI E OF",48.0718885,-104.4519579,1948,KU
Mammalia,Microtus ochrogaster,Montana,"CUSTER, 15 MI S OF",45.9132445,-107.5594027,1948,KU
Mammalia,Microtus ochrogaster,Montana,"CUSTER, 15 MI S OF",45.9132445,-107.5594027,1948,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.125 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamiasciurus hudsonicus,Montana,"AUGUSTA, 6.5 MI N, 17.125 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 2.5 MI S, 1.5 MI W OF",48.82412,-113.49163,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Zapus princeps,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Odocoileus hemionus,Montana,No locality,47.0198251,-109.8805857,1888,KU
Mammalia,Cynomys ludovicianus,Montana,EDGAR. 10 MI E OF,45.4648396,-108.6457282,1917,KU
Mammalia,Tamiasciurus hudsonicus,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Dipodomys ordii,Montana,"FORSYTH, 1 MI S, 2 MI E OF",46.2517689,-106.6359301,1946,KU
Mammalia,Reithrodontomys megalotis,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Microtus pennsylvanicus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Microtus longicaudus,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Ochotona princeps,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER RIVER",45.56104,-110.313,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Reithrodontomys megalotis,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Peromyscus maniculatus,Montana,"MEDICINE LAKE CITY, 3 MI S OF",48.4554583,-104.5047446,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"CUT BANK, 1 MI W OF",48.633,-112.34803,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"BLACKFEET, 10 MI S, 4 MI E OF",48.4360019,-112.7894933,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MEDICINE LAKE CITY, 3 MI S OF",48.4554583,-104.5047446,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MEDICINE LAKE CITY, 3 MI S OF",48.4554583,-104.5047446,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MEDICINE LAKE CITY, 3 MI S OF",48.4554583,-104.5047446,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 2.5 MI S, 1.5 MI W OF",48.82412,-113.49163,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Microtus pennsylvanicus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Odocoileus hemionus,Montana,White sulfur springs,46.5481193,-110.9058082,1949,KU
Mammalia,Antilocapra americana,Montana,No locality,47.266,-104.898,1883,KU
Mammalia,Bison bison,Montana,No locality,47.0198251,-109.8805857,1886,KU
Mammalia,Dipodomys ordii,Montana,"FORSYTH, 1 MI S, 2 MI E OF",46.2517689,-106.6359301,1946,KU
Mammalia,Dipodomys ordii,Montana,"FORSYTH, 1 MI S, 2 MI E OF",46.2517689,-106.6359301,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Myodes gapperi,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Microtus ochrogaster,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1946,KU
Mammalia,Ochotona princeps,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Tamiasciurus hudsonicus,Montana,PRYOR MOUNTAINS; HEAD OF SNELL CREEK,45.1402,-108.4176,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER RIVER",45.56104,-110.313,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER RIVER",45.56104,-110.313,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Microtus pennsylvanicus,Montana,"CUT BANK, 1 MI W OF",48.633,-112.34803,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"CUT BANK, 1 MI W OF",48.633,-112.34803,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"CUT BANK, 1 MI W OF",48.633,-112.34803,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamiasciurus hudsonicus,Montana,"AUGUSTA, 6.5 MI N, 17.125 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 2.5 MI S, 1.5 MI W OF",48.82412,-113.49163,1949,KU
Mammalia,Microtus pennsylvanicus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Lepus townsendii,Montana,"SAND SPRINGS, 10 MI W OF",47.1008,-107.6976,1949,KU
Mammalia,Urocitellus richardsonii,Montana,"WILSALL AND WHITE SULFUR SPRINGS, BETWEEN",46.267,-110.772,1949,KU
Mammalia,Odocoileus hemionus,Montana,No locality,47.0198251,-109.8805857,1887,KU
Mammalia,Odocoileus hemionus,Montana,No locality,47.0198251,-109.8805857,1887,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Neotamias ruficaudus,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Reithrodontomys megalotis,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"MOSBY, 9.5 MI E OF",46.9922,-107.68271,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"MOSBY, 9.5 MI E OF",46.9922,-107.68271,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"MOSBY, 9.5 MI E OF",46.9922,-107.68271,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,1946,KU
Mammalia,Peromyscus maniculatus,Montana,"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,1946,KU
Mammalia,Myodes gapperi,Montana,"ST MARY, 6 MI S OF",48.6567969,-113.4270158,1946,KU
Mammalia,Tamias amoenus,Montana,"TENDERFOOT CREEK, HEAD",46.9176185,-110.8486122,1939,KU
Mammalia,Tamias minimus,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,1947,KU
Mammalia,Thomomys talpoides,Montana,"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER RIVER",45.56104,-110.313,1947,KU
Mammalia,Thomomys talpoides,Montana,PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,1947,KU
Mammalia,Microtus ochrogaster,Montana,Busby,45.5372,-106.9556,1947,KU
Mammalia,Peromyscus maniculatus,Montana,"CUT BANK, 1 MI W OF",48.633,-112.34803,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus pennsylvanicus,Montana,Springdale,45.7382,-110.2267,1948,KU
Mammalia,Microtus ochrogaster,Montana,"CUSTER, 15 MI S OF",45.9132445,-107.5594027,1948,KU
Mammalia,Castor canadensis,Montana,Miles city,46.4083,-105.8406,1948,KU
Mammalia,Marmota flaviventris,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Callospermophilus lateralis,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamias amoenus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Tamiasciurus hudsonicus,Montana,"AUGUSTA, 6.5 MI N, 17.125 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"BABB, 2.5 MI S, 1.5 MI W OF",48.82412,-113.49163,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Peromyscus maniculatus,Montana,"GLENDIVE, 1 MI W OF",47.1053,-104.7336,1949,KU
Mammalia,Microtus pennsylvanicus,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Microtus pennsylvanicus,Montana,"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,1949,KU
Mammalia,Microtus longicaudus,Montana,"AUGUSTA, 6.5 MI N, 17.125 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Zapus princeps,Montana,"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,1949,KU
Mammalia,Urocitellus richardsonii,Montana,"WILSALL AND WHITE SULFUR SPRINGS, BETWEEN",46.267,-110.772,1949,KU
Mammalia,Antilocapra americana,Montana,No locality,47.266,-104.898,1883,KU
Mammalia,Antilocapra americana,Montana,Billings,45.783172,-108.5005282,1891,KU
Mammalia,Myotis lucifugus,Montana,Glasgow,48.1967893,-106.6366164,1919,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
Mammalia,Peromyscus maniculatus,Montana,"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,1938,KU
